TARGET,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,FAMILY_INCOME,PERSONAL_INCOME,GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,INCOME
0,49,1,Среднее специальное,Состою в браке,2,1,1,0,0,0,1,1,15000.0,5000.0,Торговля,Рабочий,Вспомогательный техперсонал,18.0,до 10000 руб.
0,49,1,Среднее специальное,Состою в браке,2,1,1,0,0,0,1,1,15000.0,5000.0,Торговля,Рабочий,Вспомогательный техперсонал,18.0,до 10000 руб.
0,32,1,Среднее,Состою в браке,3,3,1,0,0,0,1,1,15000.0,12000.0,Торговля,Рабочий,Участие в основ. деятельности,97.0,от 10000 до 30000 руб.
0,52,1,Неполное среднее,Состою в браке,4,0,1,0,0,0,2,1,15000.0,9000.0,Информационные технологии,Специалист,Участие в основ. деятельности,84.0,до 10000 руб.
0,39,1,Высшее,Состою в браке,1,1,1,0,1,0,1,1,35000.0,25000.0,Образование,Руководитель среднего звена,Участие в основ. деятельности,168.0,от 10000 до 30000 руб.
0,30,0,Среднее,Состою в браке,0,0,1,0,0,0,2,1,15000.0,12000.0,Государственная служба,Специалист,Участие в основ. деятельности,101.0,от 10000 до 30000 руб.
0,29,0,Среднее,Гражданский брак,0,0,1,0,0,1,2,1,35000.0,12000.0,Торговля,Специалист,Адм-хоз. и трансп. службы,40.0,от 10000 до 30000 руб.
0,35,0,Высшее,Разведен(а),1,1,1,0,1,0,2,2,35000.0,15000.0,Другие сферы,Специалист,Участие в основ. деятельности,6.0,от 10000 до 30000 руб.
0,41,1,Среднее,Состою в браке,0,0,1,0,1,0,2,1,15000.0,6000.0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,6.0,до 10000 руб.
0,53,0,Высшее,Состою в браке,2,0,1,0,0,0,1,1,50000.0,100000.0,Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,156.0,от 50000 до 100000 руб.
